id,comment_count,favorite_count,score
187529,5,,70
167958,5,,60
588893,4,,5
354094,15,,1078
439061,41,,791
382553,3,,6
98648,6,,98
457501,8,,229
228797,48,,932
207084,4,,138
400681,1,,6
227000,6,,70
201859,7,,88
161482,1,,7
611526,2,,1
656404,1,,-2
420667,4,,0
193868,3,,11
59626,2,,6
601402,3,,0
402260,1,,4
79804,2,,2
505083,9,,8
424150,4,,24
579817,5,,2
471709,7,,21
415328,2,,0
318693,4,,3
20736,1,,6
31174,7,,689
322115,3,,2
584398,2,,2
320824,2,,0
386948,2,,4
384823,2,,4
284355,2,,3
592492,1,,1
72028,2,,8
348857,3,,6
188106,1,,7
455927,4,,18
154975,2,,0
599477,5,,43
652102,3,,25
464829,1,,-1
163118,6,,6
491405,8,,34
516224,12,,1
289338,5,,1
139767,2,,6
265157,1,,0
56454,1,,7
315320,4,,6
661334,5,,1
52770,3,,64
391711,1,,0
159142,4,,2
15321,7,,111
126193,5,,80
222578,18,,441
630475,42,,4718
139629,1,,1
71522317,1,,0
71530245,6,,0
71575099,3,,0
71662796,3,,0
71746442,2,,0
71767886,3,,0
71781407,4,,0
71854322,2,,0
71920773,1,,0
71951456,6,,0
72003650,5,,0
72007980,1,,0
72016394,1,,0
72028454,1,,0
72030065,18,,0
71826776,2,,0
71768981,2,,0
71936409,4,,0
71550461,3,,0
71853747,2,,0
71432828,1,,0
71650716,13,,0
71497719,6,,1
71510375,1,,1
71595207,18,,1
71624007,7,,1
71666184,1,,1
71750766,2,,1
71844765,3,,1
71920074,1,,1
71928684,1,,1
71805236,7,,1
71752741,6,,1
71462894,2,,1
71650927,1,,1
71737634,3,,1
71619614,10,,1
71475670,5,,1
71778043,7,,1
71608269,4,,1
72000609,4,,1
71732929,4,,2
71446842,2,,2
71757029,2,,2
71860076,4,,2
71689880,25,,2
71591154,10,,2
71979762,4,,2
71948660,8,,2
71717544,1,,2
71980248,8,,3
71890954,4,,5
71910297,6,,-2
71463095,2,,-1
72013012,1,,-1
71919629,1,,-1
71531138,1,,-1
10219683,1,,0
10292314,1,,0
10332304,1,,0
10425686,1,,0
10503896,1,,0
10511493,1,,0
10663600,1,,0
10231934,1,,1
10681437,1,,1
10728306,1,,1
10203102,1,,2
10559277,1,,2
10348993,1,,3
10326313,1,,4
10459104,1,,8
10589056,1,,13
10503704,1,,-2
10261266,2,,0
10268700,2,,0
10282708,2,,0
10461752,2,,0
10475975,2,,0
10488846,2,,0
10510814,2,,0
10575196,2,,0
10652839,2,,0
10771476,2,,0
10276046,2,,1
10323444,2,,1
10404077,2,,1
10522517,2,,1
10319593,2,,2
10351352,2,,2
10521709,2,,2
10788797,2,,2
10246651,2,,3
10366471,2,,3
10626353,2,,3
10404435,2,,5
10353338,2,,14
10203826,3,,0
10210099,3,,0
10214795,3,,0
10272707,3,,0
10319065,3,,0
10686141,3,,1
10754818,3,,1
10412502,3,,2
10455633,3,,2
10623095,3,,2
10649670,3,,2
10674013,3,,2
10769175,3,,2
10213437,3,,3
10778800,3,,6
10461902,3,,7
10675763,3,,10
10355981,3,,11
10287191,4,,0
10601486,4,,0
10697768,4,,0
10743586,4,,0
10563398,4,,1
10265716,4,,2
10335545,4,,2
10473136,4,,2
10271684,4,,3
10338832,4,,3
10518593,4,,3
10686275,4,,3
10687495,4,,3
10275224,4,,5
10356934,4,,5
10674809,4,,9
10564748,4,,17
10372929,5,,1
10455938,5,,1
10792199,5,,1
10423400,5,,3
10202280,5,,4
10518791,5,,4
10371173,5,,5
10779289,5,,47
10392562,6,,0
10569818,6,,1
10618599,6,,1
10236532,6,,2
10306349,6,,2
10323218,6,,2
10330075,6,,2
10769717,6,,65
10461503,7,,6
10474162,8,,0
10498766,8,,0
10354522,8,,7
10537254,8,,10
10398943,9,,1
10516425,9,,2
10560485,9,,3
10365916,9,,9
10816162,9,,17
10689153,10,,0
10772633,10,,1
10603714,10,,100
10566912,11,,1
10207786,12,,3
10711555,13,,7
10479102,13,,17
10189925,14,,1
10802518,14,,230
10272685,17,,6
10323657,18,,0
10598047,20,,11
10621951,38,,64
52266409,1,,0
52308906,1,,0
51758813,1,,1
51805060,1,,1
51885883,1,,1
51888201,1,,1
52077406,1,,1
52197983,1,,1
52242560,1,,1
52037451,1,,5
51738615,2,,0
51867022,2,,0
51933610,2,,0
52193690,2,,0
52202477,2,,0
52296884,2,,0
51769456,2,,1
52047556,2,,1
52100974,2,,1
52163557,2,,2
51901538,2,,3
52199763,2,,3
52088222,2,,-1
52008687,3,,0
52139363,3,,0
52261147,3,,0
52295967,3,,0
52310056,3,,0
51791355,3,,1
51822595,3,,1
51847855,3,,1
52223155,3,,1
51858859,3,,2
52196289,3,,2
52278307,3,,2
51860001,3,,3
51747194,4,,0
52195065,4,,0
52279359,4,,0
52296073,4,,0
51740228,4,,1
52012710,4,,1
52040338,4,,1
52284319,4,,1
51970330,4,,2
51984619,4,,2
52037631,4,,2
